Month,Y2016,Y2017,Y2018,Y2019
January,2354,2625,2631,2472
February,2426,2312,2320,2200
March,2694,2689,2615,2540
April,2713,2770,2572,2609
May,3005,2915,2977,2911
June,3025,3032,3026,2915
July,3025,3237,3056,3027
August,3134,2990,3009,3083
September,3154,3108,3064,3070
October,3287,3107,3108,2944
November,3041,2903,2791,2807
December,2890,2872,2750,2666
